Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumbnail,Thumbnail Background,Tagline,Project Link,Project Lead,Twitter of Project Lead,Airtable ID,Project Description,Main Content,Featured Projects
Buy Me A Crypto Coffee,buymeacryptocoffee,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3627a,false,false,Wed Aug 10 2022 18:29:58 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:16:07 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361e6_Zsbk2ziV725vEBZAfoj7Ob5KoZGLeN5gvKEQ2oCPink.png,,Creator Economy,https://buymeacryptocoffee.xyz/,0xBhaisaab,https://twitter.com/0xbhaisaab,recXV6Toi8OseJnG2,"Move on from traditional currency, and easily get support from your audience in Crypto. Not a creator? You can show support to your favorite creators with just their wallet addresses! And also add a few words of gratitude!
",,false
Buy Me A Crypto Coffee,buymeacryptocoffee-d,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36307,false,false,Wed Nov 23 2022 00:23:43 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 07:29:51 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361e6_Zsbk2ziV725vEBZAfoj7Ob5KoZGLeN5gvKEQ2oCPink.png,,Creator Economy,https://buymeacryptocoffee.xyz/,0xBhaisaab,https://twitter.com/0xbhaisaab,recoVKZvmxYZyNcz4,"Move on from traditional currency, and easily get support from your audience in Crypto. Not a creator? You can show support to your favorite creators with just their wallet addresses! And also add a few words of gratitude!
",,false
Buy Me A Crypto Coffee,buymeacryptocoffee-5,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363ab,false,false,Wed Nov 23 2022 01:49:42 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:48:46 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361e6_Zsbk2ziV725vEBZAfoj7Ob5KoZGLeN5gvKEQ2oCPink.png,,Creator Economy,https://buymeacryptocoffee.xyz/,0xBhaisaab,https://twitter.com/0xbhaisaab,recLgeZ7lFQnXRsIw,"Move on from traditional currency, and easily get support from your audience in Crypto. Not a creator? You can show support to your favorite creators with just their wallet addresses! And also add a few words of gratitude!
",,false
DisWallet,diswallet,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36289,false,false,Wed Aug 10 2022 18:29:58 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:47:21 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ee_C-fR7ANc5FsnHh1jaUGTytVLyUkkOLfRPBgJRqpolek.svg,,Solana Wallet for Discord,https://diswallet.app/,Kunal Bagaria,https://twitter.com/kb24x7,recbq0dP6ZFZeK7kq,"DisWallet makes it easier to do fast and secured transactions with your community members inside Discord in just a few simple commands.
",,false
DisWallet,diswallet-a,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36314,false,false,Wed Nov 23 2022 00:23:56 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:39:18 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ee_C-fR7ANc5FsnHh1jaUGTytVLyUkkOLfRPBgJRqpolek.svg,,Solana Wallet for Discord,https://diswallet.app/,Kunal Bagaria,https://twitter.com/kb24x7,recKuTBemRA6qVG1e,"DisWallet makes it easier to do fast and secured transactions with your community members inside Discord in just a few simple commands.
",,false
DisWallet,diswallet-4,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363ae,false,false,Wed Nov 23 2022 01:49:50 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:03:28 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ee_C-fR7ANc5FsnHh1jaUGTytVLyUkkOLfRPBgJRqpolek.svg,,Solana Wallet for Discord,https://diswallet.app/,Kunal Bagaria,https://twitter.com/kb24x7,recHUgiMEcrYRS0z6,"DisWallet makes it easier to do fast and secured transactions with your community members inside Discord in just a few simple commands.
",,false
FTX Superteam,ftx-superteam,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e361f6,false,false,Sun Sep 04 2022 17:08:02 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:52 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36296__rLCELZobNuSWJ9vr8_6YQ7hgmC_iKizqXTDp6QbUF4.png,,Early stage accelerator,https://www.ftxsuperteam.com/,Neil,https://twitter.com/neilshroff,rec5dNma1Bto3Bh2o,"Investing pre-seed and seed checks for Indian builders. Launch your project with capital and community from FTX and Superteam. 
",,false
FTX Superteam,ftx-superteam-7,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3630e,false,false,Wed Nov 23 2022 00:23:49 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:21:17 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36296__rLCELZobNuSWJ9vr8_6YQ7hgmC_iKizqXTDp6QbUF4.png,,Early stage accelerator,https://www.ftxsuperteam.com/,Neil,https://twitter.com/neilshroff,recOSjDKG2kB467NH,"Investing pre-seed and seed checks for Indian builders. Launch your project with capital and community from FTX and Superteam. 
",,false
FTX Superteam,ftx-superteam-9,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363a2,false,false,Wed Nov 23 2022 01:49:29 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:35:56 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36296__rLCELZobNuSWJ9vr8_6YQ7hgmC_iKizqXTDp6QbUF4.png,,Early stage accelerator,https://www.ftxsuperteam.com/,Neil,https://twitter.com/neilshroff,reckiDr4EZNvByrzZ,"Investing pre-seed and seed checks for Indian builders. Launch your project with capital and community from FTX and Superteam. 
",,false
GitHacker,githacker,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36282,false,false,Sun Aug 14 2022 09:59:55 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:35:59 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ec_z9iZe1la27PRAwZ9bP8u6AyX_1UeD64vUkIp-9ddhLQ.png,,Earn crypto with every commit,https://githacker.xyz,darkrai.07,https://twitter.com/githacker_,recUxeeD7FZfUa5VS,"GitHacker helps developers earn by contributing and solving issues bountied by repository owners, developer advocates and organisations
",,false
